Page URL,Resource URL,Resource Type,Discovered
https://www.scoopanalytics.com,https://hubspotonwebflow.com/assets/js/form-124.js,script,11 Jul 2025 (17:14 UTC)
https://www.scoopanalytics.com/,https://hubspotonwebflow.com/assets/js/form-124.js,script,16 Aug 2024 (00:47 UTC)
https://www.scoopanalytics.com/ai-bi-investigation,https://hubspotonwebflow.com/assets/js/form-124.js,script,21 Nov 2025 (06:00 UTC)
https://www.scoopanalytics.com/ai-data,https://hubspotonwebflow.com/assets/js/form-124.js,script,21 Feb 2025 (03:30 UTC)
https://www.scoopanalytics.com/ai-sales,https://hubspotonwebflow.com/assets/js/form-124.js,script,19 Sep 2025 (04:26 UTC)
https://www.scoopanalytics.com/ai/ai-analytics,https://hubspotonwebflow.com/assets/js/form-124.js,script,20 Jun 2025 (04:23 UTC)
https://www.scoopanalytics.com/ai/ai-chat,https://hubspotonwebflow.com/assets/js/form-124.js,script,25 Apr 2025 (05:07 UTC)
https://www.scoopanalytics.com/ai/ai-data-analyst,https://hubspotonwebflow.com/assets/js/form-124.js,script,01 Aug 2025 (04:44 UTC)
https://www.scoopanalytics.com/ai/ai-data-scientist,https://hubspotonwebflow.com/assets/js/form-124.js,script,25 Apr 2025 (05:07 UTC)
https://www.scoopanalytics.com/ai/compare-time-periods,https://hubspotonwebflow.com/assets/js/form-124.js,script,25 Apr 2025 (05:07 UTC)
https://www.scoopanalytics.com/ai/explain-and-analyze-a-group,https://hubspotonwebflow.com/assets/js/form-124.js,script,25 Apr 2025 (05:07 UTC)
https://www.scoopanalytics.com/ai/explore-predictors,https://hubspotonwebflow.com/assets/js/form-124.js,script,25 Apr 2025 (05:07 UTC)
https://www.scoopanalytics.com/ai/segment-cluster-discovery,https://hubspotonwebflow.com/assets/js/form-124.js,script,25 Apr 2025 (05:07 UTC)
https://www.scoopanalytics.com/ask,https://hubspotonwebflow.com/assets/js/form-124.js,script,26 Dec 2025 (04:48 UTC)
https://www.scoopanalytics.com/bi-foundation,https://hubspotonwebflow.com/assets/js/form-124.js,script,21 Nov 2025 (06:00 UTC)
https://www.scoopanalytics.com/blog,https://hubspotonwebflow.com/assets/js/form-124.js,script,16 Aug 2024 (00:47 UTC)
https://www.scoopanalytics.com/blog-category/best-practices,https://hubspotonwebflow.com/assets/js/form-124.js,script,13 Dec 2024 (08:06 UTC)
